(7, 7)(7, 8)(7, 9)(8, 9)
VACIA, VACIA, VACIA, VACIA, VACIA, VACIA, VACIA, VACIA, VACIA, 
VACIA, VACIA, VACIA, VACIA, VACIA, VACIA, VACIA, VACIA, VACIA, 
VACIA, VACIA, VACIA, VACIA, VACIA, VACIA, VACIA, VACIA, VACIA, 
VACIA, VACIA, VACIA, VACIA, VACIA, VACIA, VACIA, VACIA, VACIA, 
VACIA, VACIA, VACIA, VACIA, VACIA, VACIA, VACIA, VACIA, VACIA, 
VACIA, VACIA, VACIA, VACIA, VACIA, VACIA, VACIA, VACIA, VACIA, 
VACIA, VACIA, VACIA, VACIA, VACIA, VACIA, VACIA, VACIA, VACIA, 
VACIA, VACIA, VACIA, VACIA, VACIA, VACIA, VACIA, VACIA, VACIA, 
VACIA, VACIA, VACIA, VACIA, VACIA, VACIA, VACIA, VACIA, VACIA, 
VACIA, VACIA, VACIA, VACIA, VACIA, VACIA, VACIA, VACIA, VACIA, 
VACIA, VACIA, VACIA, VACIA, VACIA, VACIA, VACIA, VACIA, VACIA, 
VACIA, VACIA, VACIA, VACIA, VACIA, VACIA, VACIA, VACIA, VACIA, 
VACIA, VACIA, VACIA, VACIA, VACIA, VACIA, VACIA, VACIA, VACIA, 
VACIA, VACIA, VACIA, VACIA, VACIA, VACIA, VACIA, VACIA, VACIA, 
VACIA, VACIA, VACIA, VACIA, VACIA, VACIA, VACIA, VACIA, VACIA, 
VACIA, VACIA, VACIA, VACIA, VACIA, VACIA, VACIA, VACIA, VACIA, 
VACIA, OCUPADA, OCUPADA, OCUPADA, OCUPADA, OCUPADA, VACIA, VACIA, VACIA, 
OCUPADA, OCUPADA, OCUPADA, OCUPADA, OCUPADA, OCUPADA, OCUPADA, VACIA, VACIA, 
